School,Common name,Team,City,State,Type,Enrollment,Primary conference
Southern Illinois University Edwardsville,SIU Edwardsville,Cougars,Edwardsville,Illinois,State,"14,142",Ohio Valley Conference
Southern Illinois University Carbondale,Southern Illinois,Salukis,Carbondale,Illinois,State,"11,695",Missouri Valley Conference
University of Southern California,USC,Trojans,Los Angeles,California,Private/Non-Sectarian,"48,321",Pac-12 Conference
Southern University,Southern,Jaguars and Lady Jaguars,Baton Rouge,Louisiana,State,"7,091",Southwestern Athletic Conference
Southeastern Louisiana University,Southeastern Louisiana,Lions and Lady Lions,Hammond,Louisiana,State,"14,298",Southland Conference
Southeast Missouri State University,Southeast Missouri,Redhawks,Cape Girardeau,Missouri,State,"10,603",Ohio Valley Conference
University of South Florida,South Florida,Bulls,Tampa,Florida,State,"50,755",American Athletic Conference
South Dakota State University,South Dakota State,Jackrabbits,Brookings,South Dakota,State,"12,613",The Summit League
University of South Dakota,South Dakota,Coyotes,Vermillion,South Dakota,State,"9,971",The Summit League
University of South Carolina Upstate,USC Upstate,Spartans,Spartanburg,South Carolina,State,"5,996",Big South Conference
South Carolina State University,South Carolina State,Bulldogs and Lady Bulldogs,Orangeburg,South Carolina,State,"2,905",Mid-Eastern Athletic Conference
University of South Carolina,South Carolina,Gamecocks,Columbia,South Carolina,State,"35,364",Southeastern Conference
University of South Alabama,South Alabama,Jaguars,Mobile,Alabama,State,"15,093",Sun Belt Conference
Siena College,Siena,Saints,Loudonville,New York,Private/Catholic,"3,214",Metro Atlantic Athletic Conference
Seton Hall University,Seton Hall,Pirates,South Orange,New Jersey,Private/Catholic,"6,000",Big East Conference
Seattle University,Seattle,Redhawks,Seattle,Washington,Private/Catholic,"7,291",Western Athletic Conference
Santa Clara University,Santa Clara,Broncos,Santa Clara,California,Private/Catholic,"9,015",West Coast Conference
San Jose State University,San Jose State,Spartans,San Jose,California,State,"33,282",Mountain West Conference
University of San Francisco,San Francisco,Dons,San Francisco,California,Private/Catholic,"10,636",West Coast Conference
San Diego State University,San Diego State,Aztecs,San Diego,California,State,"35,081",Mountain West Conference
University of San Diego,San Diego,Toreros,San Diego,California,Private/Catholic,"5,741",West Coast Conference
Samford University,Samford,Bulldogs,Homewood,Alabama,Private/Baptist,"5,692",Southern Conference
Sam Houston State University,Sam Houston State,Bearkats,Huntsville,Texas,State,"21,213",Southland Conference
Saint Peter's University,Saint Peter's,Peacocks and Peahens,Jersey City,New Jersey,Private/Catholic,"3,553",Metro Atlantic Athletic Conference
Saint Mary's College of California,Saint Mary's,Gaels,Moraga,California,Private/Catholic,"3,761",West Coast Conference
Saint Louis University,Saint Louis,Billikens,St. Louis,Missouri,Private/Catholic,"12,649",Atlantic 10 Conference
Saint Joseph's University,Saint Joseph's,Hawks,Philadelphia,Pennsylvania,Private/Catholic,"8,086",Atlantic 10 Conference
