School,Common name,Team,City,State,Type,Enrollment,Primary conference
Duquesne University,Duquesne,Dukes,Pittsburgh,Pennsylvania,Private/Catholic,"9,344",Atlantic 10 Conference
Duke University,Duke,Blue Devils,Durham,North Carolina,Private/Non-sectarian,"15,892",Atlantic Coast Conference
Drexel University,Drexel,Dragons,Philadelphia,Pennsylvania,Private/Non-sectarian,"24,190",Colonial Athletic Association
Drake University,Drake,Bulldogs,Des Moines,Iowa,Private/Non-sectarian,"3,164",Missouri Valley Conference
University of Detroit Mercy,Detroit,Titans,Detroit,Michigan,Private/Catholic,"5,080",Horizon League
DePaul University,DePaul,Blue Demons,Chicago,Illinois,Private/Catholic,"22,437",Big East Conference
University of Denver,Denver,Pioneers,Denver,Colorado,Private/Non-sectarian,"12,931",The Summit League
Delaware State University,Delaware State,Hornets and Lady Hornets,Dover,Delaware,State,"4,872",Mid-Eastern Athletic Conference
University of Delaware,Delaware,Fightin' Blue Hens,Newark,Delaware,Private-state hybrid,"24,120",Colonial Athletic Association
University of Dayton,Dayton,Flyers,Dayton,Ohio,Private/Catholic,"8,516",Atlantic 10 Conference
Davidson College,Davidson,Wildcats,Davidson,North Carolina,Private/Presbyterian,"1,843",Atlantic 10 Conference
Dartmouth College,Dartmouth,Big Green,Hanover,New Hampshire,Private/Non-sectarian,"6,608",Ivy League
Creighton University,Creighton,Bluejays,Omaha,Nebraska,Private/Catholic,"8,910",Big East Conference
Cornell University,Cornell,Big Red,Ithaca,New York,Private/Statutory state,"24,027",Ivy League
Coppin State University,Coppin State,Eagles,Baltimore,Maryland,State,"2,724",Mid-Eastern Athletic Conference
University of Connecticut,UConn,Huskies,Storrs,Connecticut,State,"32,257",Big East Conference
Columbia University,Columbia,Lions,Manhattan,New York,Private/Non-sectarian,"33,413",Ivy League
Colorado State University,Colorado State,Rams,Fort Collins,Colorado,State,"28,691",Mountain West Conference
University of Colorado Boulder,Colorado,Buffaloes,Boulder,Colorado,State,"35,528",Pac-12 Conference
Colgate University,Colgate,Raiders,Hamilton,New York,Private/Non-sectarian,"2,958",Patriot League
Coastal Carolina University,Coastal Carolina,Chanticleers,Conway,South Carolina,State,"10,484",Sun Belt Conference
Cleveland State University,Cleveland State,Vikings,Cleveland,Ohio,State,"15,648",Horizon League
Clemson University,Clemson,Tigers,Clemson,South Carolina,State,"24,951",Atlantic Coast Conference
The Citadel,The Citadel,Bulldogs,Charleston,South Carolina,State,"3,693",Southern Conference
University of Cincinnati,Cincinnati,Bearcats,Cincinnati,Ohio,State,"46,388",American Athletic Conference
Chicago State University,Chicago State,Cougars,Chicago,Illinois,State,"2,964",Western Athletic Conference
Charleston Southern University,Charleston Southern,Buccaneers,North Charleston,South Carolina,Private/Baptist,"3,724",Big South Conference
College of Charleston,College of Charleston[A 6],Cougars,Charleston,South Carolina,State,"10,488",Colonial Athletic Association
Central Michigan University,Central Michigan,Chippewas,Mount Pleasant,Michigan,State,"21,705",Mid-American Conference
University of Central Florida,UCF,Knights,Orlando,Florida,State,"69,525",American Athletic Conference
Central Connecticut State University,Central Connecticut,Blue Devils,New Britain,Connecticut,State,"11,822",Northeast Conference
University of Central Arkansas,Central Arkansas,Bears and Sugar Bears,Conway,Arkansas,State,"11,487",Southland Conference
Canisius College,Canisius,Golden Griffins,Buffalo,New York,Private/Catholic,"3,464",Metro Atlantic Athletic Conference
Campbell University,Campbell,Fighting Camels and Lady Camels,Buies Creek,North Carolina,Private/Baptist,"7,121",Big South Conference
"California State University, Sacramento",Sacramento State,Hornets,Sacramento,California,State,"31,156",Big Sky Conference
"California State University, Northridge",Cal State Northridge[A 5],Matadors,Northridge,California,State,"38,391",Big West Conference
"California State University, Long Beach",Long Beach State,The Beach,Long Beach,California,State,"38,074",Big West Conference
"California State University, Fullerton",Cal State Fullerton,Titans,Fullerton,California,State,"39,868",Big West Conference
"California State University, Fresno",Fresno State,Bulldogs,Fresno,California,State,"24,139",Mountain West Conference
"California State University, Bakersfield",Cal State Bakersfield,Roadrunners,Bakersfield,California,State,"11,199",Big West Conference
"University of California, Santa Barbara",UC Santa Barbara,Gauchos,Santa Barbara,California,State,"26,314",Big West Conference
"University of California, Riverside",UC Riverside,Highlanders,Riverside,California,State,"25,548",Big West Conference
California Polytechnic State University,Cal Poly,Mustangs,San Luis Obispo,California,State,"21,242",Big West Conference
"University of California, Los Angeles",UCLA,Bruins,Los Angeles,California,State,"45,742",Pac-12 Conference
"University of California, Irvine",UC Irvine,Anteaters,Irvine,California,State,"35,220",Big West Conference
"University of California, Davis",UC Davis,Aggies,Davis,California,State,"39,152",Big West Conference
"University of California, Berkeley",California[A 3],Golden Bears,Berkeley,California,State,"43,204",Pac-12 Conference
Butler University,Butler,Bulldogs,Indianapolis,Indiana,Private/Non-Sectarian,"4,481",Big East Conference
University at Buffalo,Buffalo,Bulls,Buffalo,New York,State,"31,923",Mid-American Conference
Bucknell University,Bucknell,Bison,Lewisburg,Pennsylvania,Private/Non-Sectarian,"3,600",Patriot League
Bryant University,Bryant,Bulldogs,Smithfield,Rhode Island,Private/Non-Sectarian,"3,751",Northeast Conference
Brown University,Brown,Bears,Providence,Rhode Island,Private/Non-Sectarian,"10,333",Ivy League
Brigham Young University,BYU,Cougars,Provo,Utah,Private/Latter-Day Saints,"33,633",West Coast Conference
Bradley University,Bradley,Braves,Peoria,Illinois,Private/Non-Sectarian,"4,636",Missouri Valley Conference
Bowling Green State University,Bowling Green,Falcons,Bowling Green,Ohio,State,"20,395",Mid-American Conference
Boston University,Boston University,Terriers,Boston,Massachusetts,Private/Non-sectarian,"34,262",Patriot League
Boston College,Boston College,Eagles,Chestnut Hill,Massachusetts,Private/Catholic,"14,559",Atlantic Coast Conference
Boise State University,Boise State,Broncos,Boise,Idaho,State,"25,540",Mountain West Conference
Binghamton University,Binghamton,Bearcats,Vestal,New York,State,"18,147",America East Conference
Bethune-Cookman University,Bethune–Cookman,Wildcats,Daytona Beach,Florida,Private/Methodist,"3,773",Mid-Eastern Athletic Conference
Belmont University,Belmont,Bruins,Nashville,Tennessee,Private/Christian,"8,260",Ohio Valley Conference
Baylor University,Baylor,Bears and Lady Bears,Waco,Texas,Private/Baptist,"18,033",Big 12 Conference
Ball State University,Ball State,Cardinals,Muncie,Indiana,State,"22,513",Mid-American Conference
Austin Peay State University,Austin Peay,Governors and Lady Govs,Clarksville,Tennessee,State,"9,835",Ohio Valley Conference
Auburn University,Auburn,Tigers,Auburn,Alabama,State,"30,440",Southeastern Conference
United States Military Academy,Army[A 50],Black Knights,West Point,New York,Federal academy,"4,294",Patriot League
Arkansas State University,Arkansas State,Red Wolves,Jonesboro,Arkansas,State,"14,074",Sun Belt Conference
University of Arkansas at Pine Bluff,Arkansas–Pine Bluff,Golden Lions and Golden Lady Lions,Pine Bluff,Arkansas,State,"2,498",Southwestern Athletic Conference
University of Arkansas at Little Rock,Little Rock[A 2],Trojans,Little Rock,Arkansas,State,"27,778",Sun Belt Conference
University of Arkansas,Arkansas,Razorbacks and Razorback women,Fayetteville,Arkansas,State,"27,778",Southeastern Conference
Arizona State University,Arizona State,Sun Devils,Tempe,Arizona,State,"51,585",Pac-12 Conference
University of Arizona,Arizona,Wildcats,Tucson,Arizona,State,"45,918",Pac-12 Conference
Appalachian State University,Appalachian State,Mountaineers,Boone,North Carolina,State,"14,311",Sun Belt Conference
American University,American,Eagles,Washington,District of Columbia,Private/Methodist,"14,311",Patriot League
Alcorn State University,Alcorn State,Braves and Lady Braves,Lorman,Mississippi,State,"3,523",Southwestern Athletic Conference
"University at Albany, SUNY",Albany,Great Danes,Albany,New York,State,"17,743",America East Conference
Alabama State University,Alabama State,Hornets and Lady Hornets,Montgomery,Alabama,State,"7,989",Southwestern Athletic Conference
University of Alabama at Birmingham,UAB,Blazers,Birmingham,Alabama,State,"22,080",Conference USA
Alabama Agricultural and Mechanical University,Alabama A&M,Bulldogs and Lady Bulldogs,Huntsville,Alabama,State,"6,001",Southwestern Athletic Conference
University of Alabama,Alabama,Crimson Tide,Tuscaloosa,Alabama,State,"33,305",Southeastern Conference
University of Akron,Akron,Zips,Akron,Ohio,State,"16,407",Mid-American Conference
United States Air Force Academy,Air Force,Falcons,Colorado Springs,Colorado,Federal academy,"4,237",Mountain West Conference
Abilene Christian University,Abilene Christian,Wildcats,Abilene,Texas,Private/Churches of Christ,"5,315",Southland Conference
